problem,search.method,plan.length,metric.search,planning.time.msec,heuristic.time.msec,search.time.msec,grounding.time,expanded.nodes,states.evaluated,duplicates.detected,domain,grounded.fluents,grounded.external.actions,grounded.actions,grounded.predicates,grounded.events
instance-7,sat-hmrp,24,24.0,127,6,15,7,37,61,35,blocksworld,55,0,84,0,0
instance-5,sas,14,14.0,122,2,10,6,19,38,18,blocksworld,41,0,60,0,0
instance-6,lm_opt,20,20.0,124,4,13,6,33,72,33,blocksworld,41,0,60,0,0
instance-3,opt,6,6.0,115,1,7,6,9,15,7,blocksworld,29,0,40,0,0
instance-1,opt-hmax,6,6.0,120,2,14,6,27,55,25,blocksworld,29,0,40,0,0
instance-5,aibr,14,14.0,126,3,10,8,19,38,18,blocksworld,41,0,60,0,0
instance-10,sat-hadd,22,22.0,137,7,17,8,35,82,34,blocksworld,71,0,112,0,0
instance-9,lm_opt,28,28.0,130,11,16,8,51,105,54,blocksworld,55,0,84,0,0
instance-9,sat-hmrph,26,26.0,128,7,15,8,41,67,33,blocksworld,55,0,84,0,0
instance-10,lm_opt,22,22.0,134,7,17,8,35,82,34,blocksworld,71,0,112,0,0
instance-4,sat-haddabs,18,18.0,126,8,14,7,43,90,47,blocksworld,41,0,60,0,0
instance-2,opt-hmax,10,10.0,119,0,12,5,25,41,25,blocksworld,29,0,40,0,0
instance-8,sat-hmrph,12,12.0,133,8,19,6,50,90,46,blocksworld,55,0,84,0,0
instance-10,opt-hrmax,20,20.0,419,252,303,8,5945,11093,12940,blocksworld,71,0,112,0,0
instance-4,aibr,18,18.0,121,5,13,7,43,90,47,blocksworld,41,0,60,0,0
instance-4,sat-hmrp,12,12.0,120,5,10,7,16,24,14,blocksworld,41,0,60,0,0
instance-3,sat-hadd,6,6.0,113,1,7,6,9,15,7,blocksworld,29,0,40,0,0
instance-9,sat-hmrp,28,28.0,131,9,17,8,50,93,49,blocksworld,55,0,84,0,0
instance-5,sat-hmrphj,10,10.0,119,3,11,7,18,31,13,blocksworld,41,0,60,0,0
instance-2,lm_opt,10,10.0,115,1,8,6,14,20,12,blocksworld,29,0,40,0,0
instance-2,sas,10,10.0,116,3,9,6,14,20,12,blocksworld,29,0,40,0,0
instance-4,opt,18,18.0,124,5,13,8,43,90,47,blocksworld,41,0,60,0,0
instance-6,sas,20,20.0,124,4,12,6,33,72,33,blocksworld,41,0,60,0,0
instance-3,aibr,6,6.0,116,1,8,7,9,15,7,blocksworld,29,0,40,0,0
instance-7,lm_opt,32,32.0,133,11,19,7,75,156,85,blocksworld,55,0,84,0,0
instance-7,sat-hmrph,12,12.0,128,8,15,8,32,49,24,blocksworld,55,0,84,0,0
instance-2,sat-hmrp,10,10.0,117,3,9,7,15,22,13,blocksworld,29,0,40,0,0
instance-5,sat-hadd,14,14.0,125,3,11,7,19,38,18,blocksworld,41,0,60,0,0
instance-9,aibr,28,28.0,130,7,17,7,51,105,54,blocksworld,55,0,84,0,0
instance-3,sat-hradd,6,6.0,113,2,7,7,9,15,7,blocksworld,29,0,40,0,0
instance-8,sat-hadd,14,14.0,125,5,13,7,20,52,18,blocksworld,55,0,84,0,0
instance-6,sat-hmrph,26,26.0,123,7,14,7,42,64,38,blocksworld,41,0,60,0,0
instance-1,aibr,10,10.0,114,3,8,7,13,22,12,blocksworld,29,0,40,0,0
instance-2,sat-hradd,10,10.0,114,3,8,6,14,20,12,blocksworld,29,0,40,0,0
instance-8,sas,14,14.0,127,4,12,8,20,52,18,blocksworld,55,0,84,0,0
instance-1,sat-hradd,10,10.0,114,4,8,7,13,22,12,blocksworld,29,0,40,0,0
instance-2,sat-haddabs,10,10.0,117,2,8,7,14,20,12,blocksworld,29,0,40,0,0
instance-5,sat-hmrph,10,10.0,121,6,10,7,18,31,13,blocksworld,41,0,60,0,0
instance-10,sas,22,22.0,134,6,17,7,35,82,34,blocksworld,71,0,112,0,0
instance-6,aibr,20,20.0,122,4,12,8,33,72,33,blocksworld,41,0,60,0,0
instance-4,opt-hmax,12,12.0,134,11,24,7,146,263,211,blocksworld,41,0,60,0,0
instance-9,opt-hmax,20,20.0,232,82,112,8,2556,3689,4748,blocksworld,55,0,84,0,0
instance-4,sat-hmrph,12,12.0,119,3,9,8,16,23,9,blocksworld,41,0,60,0,0
instance-7,aibr,32,32.0,132,10,19,8,75,156,85,blocksworld,55,0,84,0,0
instance-6,sat-hradd,20,20.0,124,7,13,7,33,72,33,blocksworld,41,0,60,0,0
instance-2,sat-hmrph,10,10.0,116,3,9,7,13,18,7,blocksworld,29,0,40,0,0
instance-4,sat-hmrphj,12,12.0,120,2,10,7,16,23,9,blocksworld,41,0,60,0,0
instance-7,opt-hmax,12,12.0,152,22,39,7,280,598,444,blocksworld,55,0,84,0,0
instance-7,sat-hradd,32,32.0,133,10,20,6,75,156,85,blocksworld,55,0,84,0,0
instance-8,sat-haddabs,14,14.0,125,2,13,7,20,52,18,blocksworld,55,0,84,0,0
instance-8,lm_opt,14,14.0,126,5,12,7,20,52,18,blocksworld,55,0,84,0,0
instance-1,sat-hmrphj,6,6.0,116,2,7,7,10,15,5,blocksworld,29,0,40,0,0
instance-3,sat-hmrph,6,6.0,116,2,8,8,11,16,6,blocksworld,29,0,40,0,0
instance-9,opt,28,28.0,131,7,17,8,51,105,54,blocksworld,55,0,84,0,0
instance-4,sat-hradd,18,18.0,123,7,14,7,43,90,47,blocksworld,41,0,60,0,0
instance-1,sat-hmrph,6,6.0,114,2,8,5,10,15,5,blocksworld,29,0,40,0,0
instance-3,lm_opt,6,6.0,113,1,7,6,9,15,7,blocksworld,29,0,40,0,0
instance-5,sat-hradd,14,14.0,125,4,11,8,19,38,18,blocksworld,41,0,60,0,0
instance-8,aibr,14,14.0,126,4,13,7,20,52,18,blocksworld,55,0,84,0,0
instance-6,sat-hadd,20,20.0,120,3,13,7,33,72,33,blocksworld,41,0,60,0,0
instance-1,sat-hmrp,6,6.0,114,2,8,6,7,13,5,blocksworld,29,0,40,0,0
instance-10,sat-hmrp,24,24.0,133,10,17,8,34,64,32,blocksworld,71,0,112,0,0
instance-10,opt,22,22.0,133,7,16,8,35,82,34,blocksworld,71,0,112,0,0
instance-8,sat-hmrphj,12,12.0,131,11,18,8,50,90,46,blocksworld,55,0,84,0,0
instance-6,opt-hrmax,16,16.0,142,17,31,8,293,453,458,blocksworld,41,0,60,0,0
instance-7,opt-hrmax,12,12.0,152,29,40,8,280,598,444,blocksworld,55,0,84,0,0
instance-6,opt-hmax,16,16.0,142,14,31,7,293,453,458,blocksworld,41,0,60,0,0
instance-4,opt-hrmax,12,12.0,136,10,25,7,146,263,211,blocksworld,41,0,60,0,0
instance-4,lm_opt,18,18.0,121,6,13,7,43,90,47,blocksworld,41,0,60,0,0
instance-7,sat-haddabs,32,32.0,133,12,19,7,75,156,85,blocksworld,55,0,84,0,0
instance-2,sat-hmrphj,10,10.0,116,4,8,7,13,18,7,blocksworld,29,0,40,0,0
instance-7,sat-hadd,32,32.0,133,9,20,7,75,156,85,blocksworld,55,0,84,0,0
instance-8,opt,14,14.0,126,2,13,8,20,52,18,blocksworld,55,0,84,0,0
instance-5,opt-hrmax,10,10.0,132,13,22,5,137,251,197,blocksworld,41,0,60,0,0
instance-7,sat-hmrphj,12,12.0,128,7,15,8,32,49,24,blocksworld,55,0,84,0,0
instance-3,opt-hrmax,6,6.0,121,4,13,7,17,32,16,blocksworld,29,0,40,0,0
instance-9,sas,28,28.0,131,10,17,8,51,105,54,blocksworld,55,0,84,0,0
instance-2,opt-hrmax,10,10.0,124,5,15,7,25,41,25,blocksworld,29,0,40,0,0
instance-3,sat-hmrp,6,6.0,116,4,8,5,11,18,9,blocksworld,29,0,40,0,0
instance-4,sat-hadd,18,18.0,125,6,13,7,43,90,47,blocksworld,41,0,60,0,0
instance-9,sat-hadd,28,28.0,130,9,17,8,51,105,54,blocksworld,55,0,84,0,0
instance-5,opt-hmax,10,10.0,134,8,23,7,137,251,197,blocksworld,41,0,60,0,0
instance-1,opt-hrmax,6,6.0,119,2,13,7,27,55,25,blocksworld,29,0,40,0,0
instance-8,opt-hmax,10,10.0,176,44,61,7,760,1525,1466,blocksworld,55,0,84,0,0
instance-10,aibr,22,22.0,133,8,17,9,35,82,34,blocksworld,71,0,112,0,0
instance-5,sat-haddabs,14,14.0,122,2,11,6,19,38,18,blocksworld,41,0,60,0,0
instance-3,opt-hmax,6,6.0,121,4,13,6,17,32,16,blocksworld,29,0,40,0,0
instance-3,sat-hmrphj,6,6.0,115,4,8,5,11,16,6,blocksworld,29,0,40,0,0
instance-3,sat-haddabs,6,6.0,116,1,8,7,9,15,7,blocksworld,29,0,40,0,0
instance-10,sat-hradd,22,22.0,135,7,17,8,35,82,34,blocksworld,71,0,112,0,0
instance-6,sat-hmrphj,26,26.0,126,7,14,6,42,64,38,blocksworld,41,0,60,0,0
instance-7,sas,32,32.0,138,10,21,8,75,156,85,blocksworld,55,0,84,0,0
